                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6                         7                         8                         9                        10                        11
                   M_star                    R_star                         l                      n_pg                       n_p                       n_g                 Re(omega)                 Im(omega)                    E_norm                       f_T                       f_g
  0.1000926353000000E+001   0.9949050949000000E+000                         2                         0                         0                         0   0.1860673608815453E+001   0.0000000000000000E+000   0.8772779465586412E-001   0.5000000000000000E+000  -0.5457348635244094E+001
  0.1000926353000000E+001   0.9949050949000000E+000                         3                         0                         0                         0   0.2148313887859056E+001   0.0000000000000000E+000   0.4546180000657373E-001   0.5000000000000000E+000  -0.6610494917469866E+001
  0.1000926353000000E+001   0.9949050949000000E+000                         4                         0                         0                         0   0.2387879522836593E+001   0.0000000000000000E+000   0.2771650965979866E-001   0.5000000000000000E+000  -0.7697210972284088E+001
  0.1000926353000000E+001   0.9949050949000000E+000                         5                         0                         0                         0   0.2599013391501034E+001   0.0000000000000000E+000   0.1858414010888093E-001   0.5000000000000000E+000  -0.8750112965903478E+001
  0.1000926353000000E+001   0.9949050949000000E+000                         6                         0                         0                         0   0.2790726523764144E+001   0.0000000000000000E+000   0.1327621650792932E-001   0.5000000000000000E+000  -0.9783396887142478E+001
  0.1000926353000000E+001   0.9949050949000000E+000                         7                         0                         0                         0   0.2968005203013805E+001   0.0000000000000000E+000   0.9927214647117188E-002   0.5000000000000000E+000  -0.1080429724181879E+002
  0.1000926353000000E+001   0.9949050949000000E+000                         8                         0                         0                         0   0.3133952463855204E+001   0.0000000000000000E+000   0.7684408999751020E-002   0.5000000000000000E+000  -0.1181690040240588E+002
  0.1000926353000000E+001   0.9949050949000000E+000                         9                         0                         0                         0   0.3290661208947375E+001   0.0000000000000000E+000   0.6112523815469794E-002   0.5000000000000000E+000  -0.1282369354877277E+002
  0.1000926353000000E+001   0.9949050949000000E+000                        10                         0                         0                         0   0.3439627408834470E+001   0.0000000000000000E+000   0.4970505051778021E-002   0.5000000000000000E+000  -0.1382627906830710E+002
